Gender,Height,Weight,Index
1,161,89,4
1,179,127,4
1,172,139,5
1,153,104,5
1,165,68,2
1,172,92,4
1,182,108,4
1,179,130,5
1,142,71,4
0,158,153,5
1,194,108,3
0,178,107,4
1,155,57,2
0,151,64,3
0,181,80,2
0,147,126,5
0,142,159,5
1,165,155,5
0,146,104,5
1,157,56,2
0,173,82,2
0,170,102,4
0,190,118,4
0,168,140,5
0,153,78,2
1,188,123,4
0,162,64,2
1,182,104,4
1,194,115,4
0,185,102,3
1,178,52,1
0,192,90,2
1,147,142,5
1,152,103,5
0,169,54,2
1,178,127,5
1,165,105,4
0,172,67,2
1,140,129,5
1,141,86,5
0,172,96,4
1,191,96,3
0,147,107,5
1,197,119,4
0,162,159,5
1,173,139,5
1,185,139,5
0,152,90,4
1,163,131,5
1,188,141,4
1,189,104,3
0,165,57,2
1,185,76,2
0,157,110,5
1,179,56,1
0,186,143,5
0,195,104,3
0,141,126,5
1,148,141,5
0,191,54,0
0,150,70,4
1,170,95,4
0,153,77,4
1,179,152,5
1,184,157,5
1,154,112,5
1,190,95,3
1,154,111,5
1,182,50,0
0,181,106,4
1,144,80,4
1,168,160,5
0,179,150,5
1,144,108,5
0,177,96,4
0,185,119,4
0,163,63,2
1,177,117,4
1,140,79,5
0,147,67,4
0,167,58,2
1,145,108,5
1,193,130,4
0,187,94,3
0,183,79,2
0,167,85,4
1,141,80,5
0,168,59,2
0,150,84,4
0,151,67,3
0,170,53,1
0,150,144,5
0,187,121,4
1,149,66,3
0,188,90,3
1,197,125,4
0,194,111,3
0,150,60,3
0,186,127,4
1,145,142,5
1,186,118,4
1,151,114,5
1,181,78,2
0,182,143,5
1,193,151,5
0,171,120,5
0,185,100,3
0,151,55,2
0,180,58,1
1,153,70,3
0,176,156,5
1,171,147,5
1,151,82,4
0,162,58,2
1,190,50,0
1,163,137,5
0,155,144,5
1,184,153,5
1,145,78,4
1,178,83,3
0,197,114,3
1,157,74,4
1,159,124,5
0,184,152,5
0,183,50,0
0,166,153,5
1,150,74,4
1,143,88,5
0,146,157,5
0,185,140,5
0,153,133,5
1,147,92,5
0,193,61,1
0,191,68,2
0,189,125,4
0,187,102,3
0,196,50,0
0,181,94,3
0,183,87,3
0,192,108,3
1,159,145,5
1,195,81,2
1,159,120,5
0,198,145,4
0,166,140,5
0,171,152,5
0,180,60,2
0,156,106,5
1,198,109,3
0,169,88,2
0,167,79,3
0,166,144,5
0,140,76,4
0,152,114,5
1,194,106,3
0,183,76,2
0,140,146,5
0,176,121,4
1,178,160,5
0,184,160,5
1,142,131,5
1,142,69,4
1,163,123,5
0,146,110,5
1,143,149,5
1,160,139,5
1,165,143,5
1,187,138,4
1,180,73,2
0,156,89,4
1,182,98,3
1,188,114,4
0,187,92,3
1,197,88,2
1,146,138,5
0,164,71,3
0,192,139,4
1,158,96,4
1,188,81,2
1,178,140,5
1,162,130,5
1,159,109,5
1,154,54,2
0,195,61,1
1,149,100,5
0,186,128,4
1,142,91,5
1,183,105,3
1,174,90,3
0,168,143,5
1,187,96,3
0,155,71,3
1,190,135,4
1,188,100,3
1,144,88,5
