Gender,Height,Weight,Index
0,168,115,3
1,178,117,4
1,149,100,5
1,179,123,4
0,187,89,3
0,152,90,4
0,158,153,5
0,178,65,2
0,192,108,3
1,140,143,5
0,183,76,2
0,157,110,5
1,151,114,5
1,152,98,5
1,143,88,5
1,154,54,2
0,167,153,5
1,187,122,4
1,171,141,5
1,167,151,5
0,153,51,2
1,140,152,5
1,188,141,4
0,172,109,4
1,171,147,5
1,179,56,1
0,193,61,1
1,184,83,2
0,156,126,5
0,160,51,2
0,153,77,4
0,184,132,4
0,150,97,5
0,171,152,5
0,146,104,5
1,146,138,5
1,166,61,2
0,148,67,3
1,161,89,4
0,150,70,4
0,180,58,1
1,181,141,5
0,183,87,3
1,179,110,4
0,187,70,2
0,169,98,4
0,186,143,5
0,157,153,5
0,149,61,3
1,153,104,5
0,145,79,4
1,177,61,1
0,172,111,4
1,163,131,5
1,165,80,4
0,147,107,5
1,163,137,5
0,162,64,2
0,168,139,5
0,150,84,4
1,198,50,0
0,167,135,5
1,145,160,5
0,185,140,5
1,155,57,2
0,150,153,5
0,140,76,4
0,147,67,4
0,163,63,2
0,185,110,4
0,151,67,3
0,189,132,4
1,161,115,5
0,153,149,5
0,153,78,2
1,142,69,4
1,174,96,4
0,184,76,2
1,178,83,3
1,175,135,5
1,182,108,4
1,194,108,3
1,151,154,5
0,185,81,2
1,180,73,2
1,145,108,5
0,159,104,5
1,193,65,1
1,183,147,5
0,175,83,2
1,166,107,4
0,171,155,5
0,179,158,5
1,176,87,3
1,183,131,4
1,192,101,3
1,162,97,5
0,187,94,3
0,187,121,4
1,173,139,5
1,141,85,5
1,185,139,5
0,186,128,4
0,178,79,2
1,181,111,4
0,147,126,5
0,159,80,4
0,179,103,4
1,148,141,5
1,158,127,5
1,152,141,5
0,191,54,0
0,155,111,5
1,141,86,5
0,154,96,5
0,147,94,5
1,188,123,4
0,186,140,5
0,164,160,5
0,183,79,2
1,170,95,4
0,165,57,2
0,154,132,5
0,145,141,5
1,172,105,4
0,178,107,4
1,161,72,3
1,165,155,5
1,196,69,1
1,154,111,5
0,180,59,1
0,183,50,0
1,188,54,0
0,157,103,5
0,194,111,3
1,182,50,0
1,195,153,5
1,181,139,4
0,185,100,3
1,165,68,2
1,148,155,5
1,181,78,2
1,199,156,4
0,188,80,2
1,191,62,1
0,167,110,4
0,190,50,0
1,149,61,3
0,172,90,4
1,154,105,5
1,179,93,3
0,181,111,4
0,189,125,4
1,149,66,3
0,184,160,5
1,198,136,4
0,166,133,5
1,179,127,4
0,172,67,2
0,186,137,4
1,165,143,5
1,169,141,5
1,172,139,5
1,197,125,4
0,168,140,5
0,162,68,3
0,157,52,2
1,169,136,5
0,191,68,2
0,184,106,4
0,177,155,5
1,159,120,5
0,142,86,5
0,182,84,3
0,192,101,3
0,163,57,0
1,145,99,5
1,165,104,4
0,167,85,4
1,181,154,5
1,194,106,3
1,159,109,5
0,177,96,4
1,188,65,1
0,190,105,3
0,146,157,5
0,172,116,4
0,173,82,2
0,184,121,4
1,195,126,4
1,162,157,5
0,150,60,3
1,161,118,5
1,190,80,2
1,165,62,2
0,146,101,5
0,181,106,4
0,168,59,2
1,190,50,0
1,159,140,5
0,157,56,2
0,179,67,2
1,187,80,2
1,187,138,4
1,193,151,5
1,153,121,5
0,144,66,4
1,177,117,4
1,190,135,4
1,179,56,1
1,157,56,2
0,171,118,4
1,188,81,2
1,174,138,5
0,165,95,4
1,159,154,5
1,186,68,2
1,188,100,3
0,153,133,5
1,195,98,3
1,186,118,4
1,188,114,4
0,172,62,2
1,179,83,3
1,146,85,5
0,198,145,4
0,168,135,5
1,163,110,5
0,190,156,5
0,180,156,5
1,189,87,2
1,198,109,3
1,174,54,1
1,157,74,4
0,196,50,0
0,151,158,5
0,160,131,5
0,141,126,5
1,144,88,5
1,159,104,5
0,188,99,3
1,179,152,5
1,144,80,4
0,153,107,5
0,156,52,2
1,178,142,5
1,146,70,4
1,152,146,5
0,165,83,4
0,156,89,4
1,165,105,4
0,149,108,5
1,193,130,4
0,171,131,5
1,197,149,4
1,144,145,5
0,190,118,4
1,176,109,4
1,174,107,4
0,180,70,2
1,178,85,3
0,182,126,4
0,151,64,3
0,188,122,4
1,142,131,5
0,179,150,5
1,158,96,4
1,182,151,5
0,161,154,5
1,178,127,5
0,161,145,5
0,168,87,4
1,191,62,1
0,197,114,3
1,151,62,3
0,185,102,3
0,188,128,4
1,174,90,3
1,156,137,5
0,183,96,3
1,162,130,5
1,180,149,5
1,161,103,5
1,160,139,5
1,150,74,4
0,194,136,4
1,154,145,5
1,184,157,5
0,141,136,5
0,177,101,4
0,182,149,5
1,157,110,5
0,198,50,0
0,164,59,2
0,164,71,3
1,168,123,5
0,187,92,3
1,155,51,2
1,147,142,5
0,192,90,2
1,187,136,4
0,154,92,4
0,186,148,4
0,152,154,5
1,183,105,3
1,197,88,2
1,178,138,5
0,176,122,4
1,168,50,1
1,140,129,5
1,184,57,1
0,169,97,4
0,181,80,2
0,188,90,3
0,142,159,5
1,161,155,5
0,155,115,5
0,148,54,2
1,188,57,1
0,146,147,5
1,191,146,4
1,140,79,5
0,150,144,5
1,166,160,5
0,195,61,1
0,185,52,0
0,187,130,4
1,187,62,1
1,187,96,3
0,162,74,3
1,153,70,3
1,154,100,5
1,170,81,3
0,187,102,3
1,140,146,5
0,150,119,5
1,193,54,0
0,156,106,5
0,171,120,5
0,196,122,4
0,185,94,3
1,195,69,1
1,169,110,4
1,176,77,2
1,178,140,5
1,199,99,2
1,143,149,5
0,176,156,5
1,145,130,5
0,196,159,5
0,150,50,2
1,172,92,4
0,166,140,5
0,182,143,5
1,182,70,2
0,161,134,5
1,172,75,3
1,191,96,3
0,179,114,4
0,181,94,3
1,145,117,5
1,166,70,3
0,180,60,2
0,166,153,5
1,141,80,5
1,178,52,1
1,190,83,2
1,154,112,5
0,177,117,4
0,184,86,3
0,162,159,5
1,182,104,4
0,167,58,2
0,168,90,4
0,162,58,2
0,158,149,5
0,169,145,5
1,179,130,5
0,157,60,2
1,178,160,5
1,151,82,4
0,146,123,5
0,142,137,5
0,163,159,5
