Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
38,Female,67500,Bachelor's Degree,Married,2,Owned,2
32,Male,57500,Associate's Degree,Single,0,Rented,1
29,Female,27500,High School Diploma,Single,0,Rented,0
45,Female,105000,Bachelor's Degree,Married,3,Owned,2
53,Male,115000,Associate's Degree,Married,0,Owned,2
26,Female,45000,Associate's Degree,Single,0,Rented,1
40,Male,130000,High School Diploma,Single,0,Owned,2
28,Female,30000,Associate's Degree,Single,0,Rented,0
50,Male,162500,Master's Degree,Married,0,Owned,2
27,Female,35000,High School Diploma,Single,0,Rented,0
25,Female,57500,Bachelor's Degree,Single,0,Rented,1
47,Female,85000,Doctorate,Married,1,Owned,2
46,Female,95000,High School Diploma,Married,1,Owned,2
32,Male,55000,Associate's Degree,Single,0,Rented,1
49,Female,77500,Doctorate,Married,1,Owned,2
27,Female,37500,High School Diploma,Single,0,Rented,0
51,Male,145000,Bachelor's Degree,Married,0,Owned,2
39,Female,62500,Bachelor's Degree,Married,2,Owned,2
30,Male,112500,Master's Degree,Married,2,Owned,2
30,Male,112500,Master's Degree,Married,2,Owned,2
44,Male,75000,Master's Degree,Single,0,Owned,2
52,Male,125000,High School Diploma,Married,0,Owned,2
26,Female,55000,Bachelor's Degree,Married,1,Owned,1
25,Female,62500,Bachelor's Degree,Single,0,Rented,1
30,Male,117500,Master's Degree,Married,2,Owned,2
42,Male,100000,Master's Degree,Single,0,Owned,2
38,Female,67500,Bachelor's Degree,Married,2,Owned,2
44,Male,87500,Master's Degree,Single,0,Owned,2
36,Female,85000,Master's Degree,Married,2,Owned,2
34,Male,47500,Associate's Degree,Single,0,Rented,1
52,Male,130000,High School Diploma,Married,0,Owned,2
39,Female,62500,Bachelor's Degree,Married,2,Owned,2
34,Male,47500,Associate's Degree,Single,0,Rented,1
50,Male,155000,Master's Degree,Married,0,Owned,2
32,Male,57500,Associate's Degree,Single,0,Rented,1
51,Male,140000,Bachelor's Degree,Married,0,Owned,2
38,Female,65000,Bachelor's Degree,Married,2,Owned,2
25,Female,57500,Bachelor's Degree,Single,0,Rented,1
35,Female,85000,Doctorate,Married,1,Owned,2
47,Female,90000,Doctorate,Married,1,Owned,2
28,Female,32500,Associate's Degree,Single,0,Rented,0
26,Female,50000,Associate's Degree,Single,0,Rented,1
40,Male,125000,High School Diploma,Single,0,Owned,2
38,Female,67500,Bachelor's Degree,Married,2,Owned,2
37,Female,70000,Bachelor's Degree,Married,2,Owned,2
25,Female,55000,Bachelor's Degree,Single,0,Rented,1
31,Male,70000,Bachelor's Degree,Single,0,Rented,1
36,Female,95000,Master's Degree,Married,2,Owned,2
35,Female,90000,Doctorate,Married,1,Owned,2
43,Male,92500,Master's Degree,Single,0,Owned,2
35,Female,80000,Doctorate,Married,1,Owned,2
48,Female,87500,Doctorate,Married,1,Owned,2
