age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
52.0,1,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
20.0,6,9.0,2,9,0,4,1,0.0,0.0,32.5,38,0
52.0,3,9.0,0,2,1,4,1,0.0,0.0,40.0,38,0
35.0,1,7.0,0,10,3,1,1,0.0,0.0,32.5,38,0
50.0,3,10.0,5,11,4,2,0,0.0,0.0,40.0,38,0
56.0,5,10.0,5,12,1,4,0,0.0,0.0,40.0,38,0
26.0,3,10.0,4,11,1,4,0,0.0,0.0,32.5,38,0
29.0,1,12.0,6,7,4,2,0,0.0,0.0,52.5,38,0
26.0,3,13.0,2,9,0,4,1,0.0,0.0,40.0,38,0
19.0,3,9.0,4,6,1,4,1,0.0,0.0,40.0,38,0
51.0,4,13.0,4,3,1,4,1,0.0,0.0,52.5,38,0
69.0,3,9.0,2,2,0,4,1,0.0,0.0,32.5,38,0
32.0,3,9.0,2,3,0,4,1,0.0,0.0,40.0,38,0
57.0,3,9.0,5,7,3,4,1,0.0,0.0,40.0,25,0
69.0,1,6.0,2,3,0,4,1,0.0,0.0,32.5,38,0
25.0,3,9.0,4,11,3,4,0,0.0,0.0,40.0,38,0
26.0,3,13.0,2,6,0,4,1,0.0,0.0,40.0,38,0
45.0,6,13.0,4,9,3,4,0,0.0,0.0,40.0,38,0
25.0,3,10.0,2,2,0,4,1,0.0,0.0,40.0,38,0
28.0,3,9.0,2,6,0,1,1,0.0,0.0,32.5,24,0
26.0,3,13.0,2,11,0,4,1,0.0,0.0,40.0,38,0
32.0,1,9.0,4,3,3,4,0,0.0,0.0,32.5,38,0
20.0,3,10.0,4,7,3,4,0,0.0,0.0,40.0,38,0
26.0,3,9.0,4,2,2,4,1,0.0,0.0,40.0,38,0
35.0,1,13.0,2,13,0,4,1,0.0,0.0,40.0,38,0
33.0,3,9.0,2,7,2,2,0,0.0,0.0,40.0,38,0
62.0,3,9.0,4,5,1,4,1,0.0,0.0,40.0,38,0
23.0,3,10.0,4,7,3,4,0,0.0,0.0,37.0,38,0
35.0,3,10.0,3,2,1,4,1,0.0,0.0,40.0,38,0
20.0,3,9.0,0,3,4,4,0,0.0,0.0,32.5,38,0
27.0,5,11.0,4,9,1,2,1,0.0,0.0,40.0,38,0
56.0,3,10.0,4,12,4,4,1,0.0,0.0,45.0,38,0
47.0,3,9.0,4,0,4,4,0,0.0,0.0,40.0,38,0
46.0,1,10.0,4,7,3,2,1,0.0,0.0,40.0,38,0
37.0,5,9.0,2,2,0,4,1,0.0,0.0,46.0,38,0
25.0,3,5.0,4,11,3,4,0,0.0,0.0,45.0,38,0
24.0,0,10.0,4,0,1,2,0,0.0,0.0,40.0,38,0
33.0,3,13.0,4,7,3,4,0,0.0,0.0,32.5,38,0
36.0,3,13.0,0,7,1,4,0,0.0,0.0,45.0,38,0
25.0,3,7.0,4,0,3,4,0,0.0,0.0,40.0,38,0
30.0,3,9.0,2,2,0,4,1,0.0,0.0,40.0,10,0
