iter	Passed	Remaining
0	1	153
1	2	137
2	4	130
3	5	121
4	6	121
5	7	120
6	8	118
7	10	116
8	11	115
9	12	114
10	13	112
11	15	111
12	16	110
13	17	108
14	18	107
15	20	106
16	21	104
17	22	103
18	23	102
19	25	100
20	26	99
21	27	98
22	28	96
23	30	95
24	31	94
25	32	92
26	34	92
27	35	90
28	36	89
29	37	88
30	38	86
31	40	85
32	41	84
33	42	83
34	44	81
35	45	80
36	46	79
37	47	78
38	49	76
39	50	75
40	51	74
41	52	71
42	53	70
43	54	69
44	55	68
45	56	66
46	58	65
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	85	38
69	86	36
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	100	23
81	101	22
82	102	21
83	103	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	116	7
94	117	6
95	118	4
96	120	3
97	121	2
98	122	1
99	124	0
