iter	Passed	Remaining
0	166	166768
1	170	84980
2	172	57215
3	173	43250
4	177	35254
5	178	29630
6	180	25573
7	181	22561
8	183	20204
9	184	18289
10	185	16720
11	187	15429
12	188	14333
13	190	13437
14	192	12638
15	194	11932
16	195	11315
17	197	10753
18	198	10240
19	199	9795
20	201	9382
21	202	9003
22	205	8714
23	206	8409
24	208	8129
25	210	7875
26	211	7631
27	213	7402
28	214	7181
29	215	6979
30	217	6786
31	219	6647
32	221	6487
33	222	6334
34	224	6193
35	226	6058
36	227	5920
37	228	5793
38	230	5670
39	231	5552
40	234	5473
41	235	5373
42	237	5295
43	239	5205
44	241	5114
45	242	5024
46	243	4937
47	244	4854
48	246	4775
49	248	4725
50	250	4664
51	252	4598
52	253	4538
53	255	4475
54	256	4410
55	257	4348
56	259	4288
57	260	4229
58	262	4188
59	264	4142
60	266	4099
61	267	4052
62	269	4009
63	271	3965
64	272	3917
65	273	3872
66	274	3829
67	276	3794
68	278	3763
69	280	3731
70	282	3695
71	284	3660
72	285	3622
73	286	3585
74	287	3549
75	289	3514
76	290	3479
77	292	3457
78	294	3430
79	295	3402
80	297	3375
81	299	3347
82	299	3311
83	301	3282
84	302	3254
85	303	3226
86	304	3198
87	306	3179
88	308	3156
89	310	3136
90	311	3115
91	313	3093
92	314	3069
93	315	3044
94	317	3021
95	318	2998
96	319	2975
97	322	2965
98	323	2948
99	326	2935
100	328	2919
101	329	2902
102	331	2883
103	332	2863
104	333	2843
105	334	2823
106	338	2821
107	339	2807
108	341	2791
109	342	2774
110	344	2756
111	345	2738
112	346	2721
113	347	2703
114	349	2687
115	351	2679
116	352	2663
117	354	2652
118	356	2638
119	357	2623
120	359	2608
121	360	2591
122	361	2576
123	362	2561
124	363	2547
125	367	2546
126	368	2532
127	370	2521
128	371	2510
129	373	2496
130	374	2483
131	375	2471
132	377	2457
133	378	2445
134	379	2433
135	382	2428
136	384	2419
137	385	2409
138	387	2398
139	388	2386
140	389	2374
141	390	2359
142	391	2348
143	393	2336
144	394	2325
145	397	2323
146	399	2315
147	400	2307
148	402	2297
149	403	2287
150	404	2276
151	406	2266
152	407	2256
153	408	2245
154	410	2239
155	412	2232
156	413	2222
157	415	2212
158	416	2202
159	417	2193
160	418	2181
161	419	2171
162	421	2162
163	422	2152
164	423	2144
165	425	2137
166	426	2129
167	428	2120
168	429	2111
169	430	2102
170	431	2093
171	433	2085
172	434	2076
173	435	2068
174	436	2059
175	438	2051
176	439	2043
177	440	2035
178	442	2027
179	443	2020
180	444	2012
181	445	2004
182	447	1996
183	448	1989
184	449	1981
185	450	1973
186	452	1966
187	453	1958
188	454	1951
189	456	1944
190	457	1937
191	458	1930
192	459	1923
193	461	1915
194	462	1908
195	463	1901
196	464	1894
197	466	1887
198	467	1880
199	468	1873
200	469	1867
201	470	1860
202	472	1853
203	473	1847
204	474	1840
205	475	1834
206	477	1827
207	478	1821
208	479	1815
209	480	1808
210	482	1802
211	483	1796
212	484	1790
213	485	1784
214	487	1778
215	488	1772
216	489	1766
217	490	1760
218	491	1754
219	493	1748
220	494	1742
221	495	1737
222	496	1731
223	498	1726
224	499	1720
225	500	1714
226	501	1709
227	503	1703
228	504	1698
229	505	1693
230	507	1687
231	508	1683
232	509	1677
233	510	1672
234	512	1667
235	513	1661
236	514	1657
237	515	1651
238	517	1646
239	518	1641
240	519	1636
241	520	1630
242	522	1626
243	523	1621
244	524	1616
245	525	1611
246	527	1606
247	528	1601
248	529	1596
249	530	1591
250	531	1587
251	533	1582
252	534	1577
253	535	1572
254	536	1568
255	538	1563
256	539	1558
257	540	1554
258	541	1549
259	542	1545
260	544	1540
261	545	1536
262	546	1531
263	548	1527
264	549	1523
265	550	1518
266	551	1514
267	552	1510
268	554	1506
269	555	1501
270	556	1497
271	557	1493
272	559	1489
273	560	1485
274	561	1480
275	562	1476
276	564	1472
277	565	1468
278	566	1464
279	567	1460
280	569	1456
281	570	1452
282	571	1448
283	573	1444
284	574	1441
285	575	1437
286	577	1433
287	578	1429
288	579	1425
289	580	1422
290	582	1418
291	583	1414
292	584	1410
293	585	1406
294	587	1402
295	588	1399
296	589	1395
297	590	1391
298	592	1388
299	593	1384
300	594	1380
301	595	1377
302	597	1373
303	598	1369
304	599	1366
305	600	1362
306	602	1359
307	603	1355
308	604	1351
309	605	1348
310	607	1344
311	608	1341
312	609	1337
313	610	1334
314	612	1331
315	613	1327
316	614	1324
317	616	1321
318	617	1317
319	618	1314
320	619	1310
321	620	1307
322	622	1304
323	623	1300
324	624	1297
325	625	1294
326	627	1290
327	628	1288
328	630	1284
329	631	1281
330	632	1278
331	633	1275
332	635	1271
333	636	1268
334	637	1265
335	638	1262
336	640	1259
337	641	1256
338	643	1254
339	644	1250
340	645	1247
341	646	1244
342	648	1241
343	649	1238
344	650	1235
345	652	1233
346	654	1231
347	655	1228
348	657	1226
349	658	1223
350	660	1221
351	661	1218
352	663	1216
353	665	1213
354	666	1211
355	668	1208
356	669	1205
357	670	1203
358	672	1200
359	673	1197
360	675	1195
361	676	1192
362	678	1190
363	679	1188
364	682	1186
365	683	1184
366	685	1181
367	686	1178
368	687	1176
369	689	1173
370	691	1171
371	692	1169
372	694	1168
373	696	1165
374	697	1163
375	699	1160
376	701	1158
377	702	1156
378	704	1153
379	705	1151
380	707	1148
381	709	1147
382	710	1144
383	711	1142
384	713	1139
385	714	1137
386	716	1134
387	717	1131
388	718	1128
389	719	1125
390	721	1123
391	722	1120
392	724	1118
393	726	1116
394	727	1114
395	729	1112
396	730	1110
397	732	1107
398	733	1105
399	734	1102
400	736	1099
401	737	1097
402	739	1095
403	741	1093
404	743	1091
405	744	1089
406	746	1087
407	747	1084
408	748	1081
409	750	1079
410	751	1076
411	753	1075
412	755	1073
413	756	1071
414	759	1070
415	760	1067
416	761	1065
417	762	1062
418	764	1059
419	765	1057
420	766	1054
421	768	1053
422	770	1051
423	773	1050
424	774	1048
425	775	1045
426	777	1042
427	778	1040
428	779	1037
429	780	1035
430	782	1033
431	785	1032
432	787	1031
433	789	1029
434	790	1026
435	791	1024
436	792	1021
437	794	1019
438	795	1016
439	796	1014
440	799	1013
441	801	1011
442	803	1009
443	804	1007
444	805	1005
445	807	1002
446	808	1000
447	809	997
448	811	995
449	813	993
450	815	992
451	816	990
452	818	988
453	820	986
454	821	984
455	822	981
456	824	979
457	825	976
458	827	974
459	828	973
460	830	971
461	832	969
462	833	967
463	835	964
464	836	962
465	837	959
466	838	957
467	840	955
468	841	953
469	843	951
470	845	949
471	848	948
472	849	946
473	851	944
474	852	942
475	854	940
476	855	938
477	857	936
478	859	935
479	861	933
480	863	931
481	864	929
482	865	926
483	866	924
484	868	921
485	869	919
486	871	917
487	872	915
488	874	913
489	876	912
490	877	910
491	879	907
492	880	905
493	881	903
494	882	900
495	884	898
496	885	896
497	887	894
498	889	892
499	890	890
